"poliza","Preds","Prima"
757576,0.13587120206335,2800
757596,0.0604840772128484,9.91
757734,0.0631706661741528,9.91
757760,0.0838736740697765,134.99
757763,0.127250986287324,2000
757769,0.0915443320363328,500
757790,0.0621814266479703,9.91
757801,0.0891292096177601,500
757820,0.0763381320150524,54.99
757825,0.0585531438538568,9.91
757911,0.0667377388374375,16.99
757917,0.0747914519112081,54.99
757957,0.0705968335553941,16.99
757985,0.0592002249111334,9.91
757999,0.185048840907762,3000
758036,0.0617331559955079,9.91
758054,0.0609161547942162,9.91
758058,0.0557621809160967,9.91
758059,0.0678598593921878,16.99
758065,0.109379747162573,1000
758077,0.0812025282016184,134.99
758080,0.0846711234389824,134.99
758104,0.07557921910298,54.99
758109,0.0556913142959202,9.91
758117,0.068053837306079,16.99
758136,0.142571310621439,2800
758146,0.0795725266687318,54.99
758176,0.0649695044900458,16.99
758243,0.155500977941505,2800
758246,0.159626184620189,3000
758254,0.0752936208187096,54.99
758261,0.059549932282942,9.91
758287,0.0787303539533364,54.99
758288,0.119147318720438,2000
758298,0.142176067650267,2800
758314,0.0720205611927523,16.99
758337,0.0562580932270402,9.91
758346,0.0594116193451892,9.91
758364,0.122581018825839,2000
758397,0.0881774295761273,500
758401,0.0850523977066714,134.99
758416,0.14579024168264,2800
758485,0.0689312767001324,16.99
758492,0.0854621874966049,134.99
758552,0.0629680374943921,9.91
758555,0.0847474652993812,134.99
758558,0.0806612947006271,134.99
758606,0.0595463018543783,9.91
758614,0.140433514466677,2800
758632,0.0736492141611571,54.99
758678,0.118277188990513,2000
758692,0.079380378493336,54.99
758716,0.0719636568244263,16.99
758717,0.12296247297111,2000
758750,0.0632912197009901,9.91
758752,0.0769266006013248,54.99
758779,0.0630404967753414,9.91
758781,0.131969322540303,2800
758802,0.138310813251784,2800
758818,0.0806612947006271,134.99
758978,0.141089923163085,2800
759016,0.141749601284539,2800
759020,0.10002549830364,700
759038,0.0685040987954544,16.99
759065,0.0671318168829927,16.99
759066,0.0698069832085236,16.99
759072,0.0719636568244263,16.99
759102,0.0580176296618702,9.91
759104,0.0941823201834957,500
759110,0.0871765657337946,500
759111,0.0871765657337946,500
759112,0.0871765657337946,500
759144,0.0652920595621609,16.99
759244,0.0952350785759025,700
759268,0.085092453201728,134.99
